# This file is constucted by using https://github.com/Neo23x0/ti-falsepositives/tree/master
# This is a list of typical false positive hashes
# Description, MD5
1024 bytes 0x00, 0f343b0931126a20f133d67c2b018a3b
1x1 pixel JPEG, c5e389341a0b19b6f045823abffc9814
1x1 tracking pixel GIF, 325472601571f31e1bf00674c368d335
2048 bytes 0x00, c99a74c555371a433d121f551d6c6398
404 error message, 8e325dc2fea7c8900fc6c4b8c6c394fe
404 error page, 60ac8e889a1c2af330432bf793164a14
4096 bytes 0x00 - sometimes caused by an AV, 620f0b67a91f7f74151bc5be745b7110
Empty Word document, e617348b8947f28e2a280dd93c75a6ad
Empty file, d41d8cd98f00b204e9800998ecf8427e
File filled with 99 zeros - sometimes caused by an AV, fa8715078d45101200a6e2bf7321aa04
File that contains 2, 10400c6faf166902b52fb97042f1e0eb
File that contains 44 43 48 01 18 40 80 25 03 00 06 00 DCH..@.%.... (unknown), 4b6c7f3146f86136507497232d2f04a0
File that contains the word 'administrator', 200ceb26807d6bf99fd6f4f0d1ca54d4
File that contains the word 'foo', d3b07384d113edec49eaa6238ad5ff00
File that contains the word 'yes', a6105c0a611b41b08f1209506350279e
Hashes of 0 b'\x00', d41d8cd98f00b204e9800998ecf8427e
Hashes of 1 b'\x00', 93b885adfe0da089cdf634904fd59f71
Hashes of 10 b'\x00', c9ea3314b91c9fd4e38f9432064fd1f2
Hashes of 100 b'\x00', 3b3485fbfd90ddf7028cf9fa3128cd75
Hashes of 1000 b'\x00', fdd8cd38dd93555259c0c61ba7498206
Hashes of 1001 b'\x00', ad1a201db9e2349a840e7fe0e3bf8d2d
Hashes of 1002 b'\x00', 3d2ca43531d71ab30acddceb74c0e6c1
Hashes of 1003 b'\x00', 4de815a6f392f22933edbed5bfe0c1ea
Hashes of 1004 b'\x00', 3ad258c1fcf267ba4fa0ae3dcf2a827b
Hashes of 1005 b'\x00', a4cd1f5aa72c80f274fdd6417aff798e
Hashes of 1006 b'\x00', a447f418a8ea9bc28a46adb39236f23a
Hashes of 1007 b'\x00', cb23e94b3635001ae53c72929b4f8134
Hashes of 1008 b'\x00', ef2391a2f6cc7a47101de9370344e02b
Hashes of 1009 b'\x00', 27b9e9f2e7f156c5561a519784dd9cc0
Hashes of 101 b'\x00', 25ab1f455d011960e05afe6647d498b3
Hashes of 1010 b'\x00', cc2c4d19ddc8daa6a05a7e25f60b4147
Hashes of 1011 b'\x00', fe381e747af150f064a8859c8616b7f1
Hashes of 1012 b'\x00', 29f9585e08461cab3b52036f252c3535
Hashes of 1013 b'\x00', 680941c4b9ae1f81e33bf2eeeaace663
Hashes of 1014 b'\x00', ca20aacdd18d981d47446bb7f8ada684
Hashes of 1015 b'\x00', a4c3cb906f12c5bb9408c8f6a8885d6d
Hashes of 1016 b'\x00', f2e5df83a08304d379e39133d1f2de6c
Hashes of 1017 b'\x00', 997e3cc09988c140a8f314944ed71315
Hashes of 1018 b'\x00', f1dec3e298245a6e7a7dd97ec60e2602
Hashes of 1019 b'\x00', 4d0af596a7432b37fde606e9cd04f833
Hashes of 102 b'\x00', c972215a00c08bd4f69fb460d1c8b148
Hashes of 1020 b'\x00', 19011ece6d7a951afc2de0cdc48f5208
Hashes of 1021 b'\x00', 996fa941de4a6e85468f5f04d3c1c06c
Hashes of 1022 b'\x00', 557ad1dade81d969cc6193152ae1f620
Hashes of 1023 b'\x00', e93c30b166585fc831da9908a70b7098
Hashes of 1024 b'\x00', 4df05865469d38c7c3ed8c042b1420c6
Hashes of 1025 b'\x00', c12878be2ce09dd357dfafff64676354
Hashes of 1026 b'\x00', 85f47cedf9634954b5e2e221797d487f
Hashes of 1027 b'\x00', 4201f3fec5475440106a8ac5789fc29a
Hashes of 1028 b'\x00', 8b45c1b96132f43cdd4f0f4c8cb1e323
Hashes of 1029 b'\x00', 6d799c4b6e19d83c5ff1f60528e81b7a
Hashes of 103 b'\x00', b002d22b446750abb0bef73745408c4a
Hashes of 1030 b'\x00', ce26a7925e7aebac490b8c7904013689
Hashes of 1031 b'\x00', b56db9f16c7ef8eda9abb26310d7d5b4
Hashes of 1032 b'\x00', b2e23b0313aa17baf42d4282046b1b18
Hashes of 1033 b'\x00', 9be62c69d321c4a414d91f0e7599ee8f
Hashes of 1034 b'\x00', a545c730d8b0fd8bbfe08f024a92e761
Hashes of 1035 b'\x00', d21b51bf6d7f42daba709f30b52cb8e3
Hashes of 1036 b'\x00', 60e97056c07600e06bda62e0d9f923c2
