# This file is for you to add your own JARM hashes to detect
# Format of this file:
# JARM hash,Threat level,Description
# Threat level available options: info, low, medium, high, critical
# this file is copied from https://github.com/salesforce/jarm and https://github.com/cedowens/C2-JARM

22b22b09b22b22b22b22b22b22b22b352842cd5d6b0278445702035e06875c,medium,Trickbot
1dd40d40d00040d1dc1dd40d1dd40d3df2d6a0c2caaa0dc59908f0d3602943,medium,AsyncRAT
07d14d16d21d21d00042d43d000000aa99ce74e2c6d013c745aa52b5cc042d,medium,Metasploit
07d14d16d21d21d07c42d41d00041d24a458a375eef0c576d23a7bab9a9fb1,medium,Cobalt Strike
29d21b20d29d29d21c41d21b21b41d494e0df9532e75299f15ba73156cee38,medium,Merlin C2
07d14d16d21d21d00042d43d000000aa99ce74e2c6d013c745aa52b5cc042d,medium,Metasploit SSL Listener
07d14d16d21d21d07c42d43d000000f50d155305214cf247147c43c0f1a823,medium,Metasploit SSL Listener
07d14d16d21d21d07c42d41d00041d24a458a375eef0c576d23a7bab9a9fb1,medium,Cobalt Strike
29d21b20d29d29d21c41d21b21b41d494e0df9532e75299f15ba73156cee38,medium,Merlin
00000000000000000041d00000041d9535d5979f591ae8e547c5e5743e5b64,medium,Deimos
2ad2ad0002ad2ad22c42d42d000000faabb8fd156aa8b4d8a37853e1063261,medium,MacC2
2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,medium,MacC2
2ad000000000000000000000000000eeebf944d0b023a00f510f06a29b4f46,medium,MacShellSwift
2ad000000000000000000000000000eeebf944d0b023a00f510f06a29b4f46,medium,MacShell
2ad2ad0002ad2ad00041d2ad2ad41da5207249a18099be84ef3c8811adc883,medium,Sliver
20d14d20d21d20d20c20d14d20d20daddf8a68a1444c74b6dbe09910a,medium,EvilGinx2
2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,medium,Shad0w
07d19d12d21d21d07c07d19d07d21da5a8ab90bcc6bf8bbc6fbec4bcaa8219,medium,Get2
2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,medium,GRAT2 C2
21d14d00000000021c21d14d21d21d1ee8ae98bf3ef941e91529a93ac62b8b,medium,Covenant
2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,medium,SILENTRINITY
2ad2ad0002ad2ad22c42d42d000000faabb8fd156aa8b4d8a37853e1063261,medium,PoshC2
