StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes
2013/10/21 13:22:59.340835,3596.604980,tcp,147.32.83.53,60686,  <?>,147.32.80.88,5222,PA_PA,0,0,448,49634
2013/10/21 13:22:59.769212,3599.723145,tcp,147.32.83.216,22,  <?>,147.32.83.53,56278,PA_PA,16,16,1176,155840
2013/10/21 13:23:01.145399,195.004684,tcp,147.32.83.53,50977,  <?>,195.113.214.245,443,FA_FPA,0,0,15,893
2013/10/21 13:23:04.769555,3598.400146,arp,147.32.83.53,,  who,147.32.83.216,,CON,,,190,9690
2013/10/21 13:23:04.946093,3591.208496,tcp,173.194.35.85,443,  <?>,147.32.83.53,49353,PA_PA,0,0,2510,835102
2013/10/21 13:23:21.041618,3502.326904,tcp,147.32.83.53,46672,  <?>,195.113.231.211,22,PA_PA,16,0,108,10584
2013/10/21 13:23:59.345482,1895.424683,arp,147.32.83.53,,  who,147.32.83.1,,CON,,,24,1224
2013/10/21 13:24:13.337667,3502.510498,tcp,147.32.83.53,56279,  <?>,147.32.83.216,22,PA_PA,16,16,108,10296
2013/10/21 13:24:19.834815,3173.001221,udp,147.32.83.53,123,  <->,83.167.252.118,123,CON,192,0,8,720
2013/10/21 13:24:54.810298,3046.836670,udp,147.32.83.53,68,  <->,147.32.83.105,67,CON,0,0,10,3675
2013/10/21 13:24:59.825558,3046.832275,arp,147.32.83.53,,  who,147.32.83.105,,CON,,,10,510
2013/10/21 13:28:29.127142,0.010203,udp,147.32.83.53,18599,  <->,147.32.80.105,53,CON,0,0,2,348
2013/10/21 13:28:29.137891,493.725739,tcp,147.32.83.53,53655,   ->,173.194.113.191,443,FSPA_FSPA,0,0,155,80629
2013/10/21 13:28:29.884097,0.029809,udp,147.32.83.53,52010,  <->,147.32.80.105,53,CON,0,0,2,557
2013/10/21 13:28:29.914173,240.071579,tcp,147.32.83.53,36567,   ->,195.113.214.241,443,FSPA_FSPA,0,0,35,7804
2013/10/21 13:28:30.309659,0.234889,udp,147.32.83.53,39317,  <->,147.32.80.105,53,CON,0,0,2,291
2013/10/21 13:28:30.544875,10.248911,tcp,147.32.83.53,55435,   ->,130.15.100.14,80,FSA_FSA,0,0,8,552
2013/10/21 13:28:30.544945,0.370764,tcp,147.32.83.53,55436,   ->,130.15.100.14,80,SRPA_SA,0,0,18,13142
2013/10/21 13:28:30.559982,20.243198,tcp,147.32.83.53,55437,   ->,130.15.100.14,80,FSA_FSA,0,0,9,618
2013/10/21 13:30:31.943651,0.010285,udp,147.32.83.53,33579,  <->,147.32.80.105,53,CON,0,0,2,547
2013/10/21 13:30:31.943859,0.000459,udp,147.32.83.53,47433,  <->,147.32.80.105,53,CON,0,0,2,309
2013/10/21 13:30:31.944067,0.000455,udp,147.32.83.53,3583,  <->,147.32.80.105,53,CON,0,0,2,364
2013/10/21 13:30:31.944578,0.000502,udp,147.32.83.53,28707,  <->,147.32.80.105,53,CON,0,0,2,309
2013/10/21 13:30:32.072698,0.133027,udp,147.32.83.53,15354,  <->,147.32.80.105,53,CON,0,0,2,305
2013/10/21 13:30:32.206030,11.397089,tcp,147.32.83.53,47954,   ->,80.242.138.72,80,FSPA_FSPA,0,0,75,83596
2013/10/21 13:30:32.706227,10.896910,tcp,147.32.83.53,47955,   ->,80.242.138.72,80,FSPA_FSPA,0,0,58,37891
2013/10/21 13:30:32.706468,10.896695,tcp,147.32.83.53,47956,   ->,80.242.138.72,80,FSPA_FSPA,0,0,67,67696
2013/10/21 13:30:32.706946,10.896205,tcp,147.32.83.53,47957,   ->,80.242.138.72,80,FSPA_FSPA,0,0,61,38337
2013/10/21 13:30:32.707340,10.896059,tcp,147.32.83.53,47958,   ->,80.242.138.72,80,FSPA_FSPA,0,0,74,70439
2013/10/21 13:30:32.861738,10.741335,tcp,147.32.83.53,47959,   ->,80.242.138.72,80,FSPA_FSPA,0,0,141,193066
2013/10/21 13:30:33.486557,0.236596,udp,147.32.83.53,31914,  <->,147.32.80.105,53,CON,0,0,2,261
2013/10/21 13:30:33.486680,0.236435,udp,147.32.83.53,61481,  <->,147.32.80.105,53,CON,0,0,2,276
2013/10/21 13:30:33.486795,0.019748,udp,147.32.83.53,40315,  <->,147.32.80.105,53,CON,0,0,2,342
2013/10/21 13:30:33.506790,0.184428,udp,147.32.83.53,7448,  <->,147.32.80.105,53,CON,0,0,2,254
2013/10/21 13:30:33.613323,0.000330,udp,147.32.83.53,42762,  <->,147.32.80.105,53,CON,0,0,2,588
2013/10/21 13:30:33.613966,69.973305,tcp,147.32.83.53,40222,   ->,195.113.214.230,80,FSPA_FSRPA,0,0,13,2090
2013/10/21 13:30:33.691627,0.080407,udp,147.32.83.53,55602,  <->,147.32.80.105,53,CON,0,0,2,314
2013/10/21 13:30:33.723490,0.050472,udp,147.32.83.53,47368,  <->,147.32.80.105,53,CON,0,0,2,263
2013/10/21 13:30:38.494626,0.000545,udp,147.32.83.53,30202,  <->,147.32.80.105,53,CON,0,0,2,526
2013/10/21 13:30:38.495423,338.466095,tcp,147.32.83.53,36581,   ->,195.113.214.241,443,FSPA_FSPA,0,0,72,14687
2013/10/21 13:31:39.672302,0.143491,udp,147.32.83.53,10462,  <->,147.32.80.105,53,CON,0,0,2,276
2013/10/21 13:32:22.617805,10.528412,tcp,147.32.83.53,47964,   ->,80.242.138.72,80,FSPA_FSPA,0,0,18,11508
2013/10/21 13:32:23.045098,10.101189,tcp,147.32.83.53,47965,   ->,80.242.138.72,80,FSPA_FSPA,0,0,14,3485
2013/10/21 13:32:23.045261,10.101044,tcp,147.32.83.53,47966,   ->,80.242.138.72,80,FSPA_FSPA,0,0,14,3274
2013/10/21 13:32:23.045438,10.100826,tcp,147.32.83.53,47967,   ->,80.242.138.72,80,FSPA_FSPA,0,0,14,3527
