# IP addresses taken from the NSO list generated by Amnesty from https://raw.githubusercontent.com/AmnestyTech/investigations/master/2018-08-01_nso/indicators.csv
# "Number","IP address","Rating", "Description"
"1","191.101.31.25","100","NSO IP by Amnesty"
"2","185.94.190.203","100","NSO IP by Amnesty"
"3","46.183.219.79","100","NSO IP by Amnesty"
"4","185.106.120.130","100","NSO IP by Amnesty"
"5","81.22.255.180","100","NSO IP by Amnesty"
"6","109.200.24.106","100","NSO IP by Amnesty"
"7","185.189.112.199","100","NSO IP by Amnesty"
"8","95.183.51.199","100","NSO IP by Amnesty"
"9","185.130.184.35","100","NSO IP by Amnesty"
"10","200.7.97.228","100","NSO IP by Amnesty"
"11","31.184.198.149","100","NSO IP by Amnesty"
"12","185.156.175.219","100","NSO IP by Amnesty"
"13","46.22.223.209","100","NSO IP by Amnesty"
"14","217.112.131.120","100","NSO IP by Amnesty"
"15","185.94.191.69","100","NSO IP by Amnesty"
"16","108.170.31.100","100","NSO IP by Amnesty"
"17","109.200.24.72","100","NSO IP by Amnesty"
"18","185.243.115.100","100","NSO IP by Amnesty"
"19","185.94.191.23","100","NSO IP by Amnesty"
"20","200.7.97.216","100","NSO IP by Amnesty"
"21","185.45.192.134","100","NSO IP by Amnesty"
"22","173.254.248.104","100","NSO IP by Amnesty"
"23","5.102.146.87","100","NSO IP by Amnesty"
"24","185.94.191.73","100","NSO IP by Amnesty"
"25","217.112.131.103","100","NSO IP by Amnesty"
"26","217.64.113.254","100","NSO IP by Amnesty"
"27","38.132.118.108","100","NSO IP by Amnesty"
"28","88.119.179.165","100","NSO IP by Amnesty"
"29","185.225.68.6","100","NSO IP by Amnesty"
"30","185.195.200.43","100","NSO IP by Amnesty"
"31","185.195.200.51","100","NSO IP by Amnesty"
"32","46.183.216.141","100","NSO IP by Amnesty"
"33","109.200.24.48","100","NSO IP by Amnesty"
"34","109.200.24.112","100","NSO IP by Amnesty"
"35","185.225.68.229","100","NSO IP by Amnesty"
"36","185.141.26.50","100","NSO IP by Amnesty"
"37","206.189.108.245","100","NSO IP by Amnesty"
"38","88.150.227.120","100","NSO IP by Amnesty"
"39","88.119.179.166","100","NSO IP by Amnesty"
"40","46.21.147.141","100","NSO IP by Amnesty"
"41","46.21.147.224","100","NSO IP by Amnesty"
"42","185.230.124.235","100","NSO IP by Amnesty"
"43","185.82.202.32","100","NSO IP by Amnesty"
"44","109.200.24.76","100","NSO IP by Amnesty"
"45","82.211.31.177","100","NSO IP by Amnesty"
"46","88.150.227.105","100","NSO IP by Amnesty"
"47","149.255.36.138","100","NSO IP by Amnesty"
"48","83.221.132.157","100","NSO IP by Amnesty"
"49","185.225.68.2","100","NSO IP by Amnesty"
"50","80.255.12.246","100","NSO IP by Amnesty"
"51","217.112.131.176","100","NSO IP by Amnesty"
"52","93.158.203.142","100","NSO IP by Amnesty"
"53","5.149.250.2","100","NSO IP by Amnesty"
"54","200.7.98.133","100","NSO IP by Amnesty"
"55","88.150.138.66","100","NSO IP by Amnesty"
"56","93.158.203.140","100","NSO IP by Amnesty"
"57","5.149.252.157","100","NSO IP by Amnesty"
"58","89.249.65.165","100","NSO IP by Amnesty"
"59","94.177.236.235","100","NSO IP by Amnesty"
"60","89.33.246.112","100","NSO IP by Amnesty"
"61","185.94.189.198","100","NSO IP by Amnesty"
"62","88.150.138.106","100","NSO IP by Amnesty"
"63","217.112.131.147","100","NSO IP by Amnesty"
"64","5.149.254.5","100","NSO IP by Amnesty"
"65","200.7.105.3","100","NSO IP by Amnesty"
"66","185.206.224.41","100","NSO IP by Amnesty"
"67","164.132.138.55","100","NSO IP by Amnesty"
"68","54.37.104.101","100","NSO IP by Amnesty"
"69","109.200.24.59","100","NSO IP by Amnesty"
"70","38.132.118.111","100","NSO IP by Amnesty"
"71","5.102.147.114","100","NSO IP by Amnesty"
"72","185.141.27.124","100","NSO IP by Amnesty"
"73","200.7.111.156","100","NSO IP by Amnesty"
"74","88.150.189.108","100","NSO IP by Amnesty"
"75","81.95.5.165","100","NSO IP by Amnesty"
"76","191.101.31.21","100","NSO IP by Amnesty"
"77","185.189.112.200","100","NSO IP by Amnesty"
"78","185.29.11.165","100","NSO IP by Amnesty"
"79","191.101.31.114","100","NSO IP by Amnesty"
"80","81.95.7.58","100","NSO IP by Amnesty"
"81","5.149.255.198","100","NSO IP by Amnesty"
"82","5.149.249.174","100","NSO IP by Amnesty"
"83","5.149.255.69","100","NSO IP by Amnesty"
